 
 

LOG  REP SIZE ALARM
AP   320    0 .  
AP   321    0 *  
AP   322    0 *  
AP   323    0 *  
AP   324    0 *  
AP   401    0 .  
AP   501    0 .  
AP   502    0 .  
AP   503    0 .  
AP   504    0 .  
AP   800    0 ** 
DTSR 100    0 .  
DTSR 101    0 .  
DTSR 102    4 .  
PEND 100    1 .  
PEND 101    1 .  
PEND 102   12 .  
PEND 103    1 .  
PEND 104    1 .  
AUTO 300   21 ***
AUTO 310   47 ***
AUTO 600   36 .  
AUTO 610   57 .  
AUTO 650   27 .  
HEAP 102   16 .  
C7UP 118   14 .  
C7UP 111   24 .  
C7UP 112   10 .  
C7UP 113   17 .  
C7UP 114   17 .  
C7UP 115   17 .  
C7UP 109   17 .  
C7UP 110   40 .  
C7UP 107   31 .  
C7UP 100   12 .  
C7UP 300   12 .  
C7UP 101   23 .  
C7UP 102   32 .  
C7UP 103   12 .  
C7UP 104    0 .  
C7UP 122    0 .  
C7UP 105   21 .  
C7UP 106   21 .  
C7UP 116   97 .  
C7UP 117    3 .  
C7UP 121   17 .  
C7UP 119   12 .  
C7UP 120   10 .  
C7UP 123   50 .  
C7UP 125   19 .  
C7UP 128    0 .  
C7UP 600    0 .  
C7UP 601    0 .  
C7UP 301    0 .  
C7UP 130    0 .  
C7UP 603   14 .  
C7UP 602   24 .  
C7UP 201   23 .  
C7UP 124   50 .  
C7UP 126   54 .  
C7UP 127  130 .  
CDC  101  159 .  
CDC  103  159 .  
CDC  102  238 .  
DDIS 100    5 .  
TUPL 600  206 .  
TUPL 601  206 .  
TUPL 602  206 .  
TUPL 603  206 .  
TUPL 604  206 .  
TUPL 605  206 .  
TUPL 606   53 .  
TUPL 608  321 .  
TUPL 607   59 .  
SLE  101   29 .  
SLE  105    1 .  
SLE  102   29 .  
SLE  103    9 .  
SLE  104    6 .  
SLE  106    1 .  
SLE  107    1 .  
SLE  108    4 .  
DCH  100   33 .  
DCH  101   33 .  
DCH  102   33 .  
DCH  103   33 .  
DCH  104   33 .  
DCH  105   33 .  
DCH  106   33 .  
DCH  500    9 .  
DCH  600   30 .  
DCH  603    4 .  
DCH  604   48 .  
DCH  605    5 ** 
DCH  800   30 .  
IDPL 800   30 .  
IDPL 801   30 .  
IDPL 300   30 .  
IDPL 900   32 .  
IDPL 810   16 .  
IDPL 811   16 .  
TFAN 100    8 .  
CFW  100   20 .  
CFW  101   31 .  
CFW  103   31 .  
CFW  104   67 .  
CFW  105   67 .  
CFW  112   14 .  
CFW  108   83 .  
CFW  109   83 .  
CFW  110   83 .  
CFW  111   83 .  
FTR  138    8 .  
ENET 100   99 .  
ENET 101   99 *  
ENET 102   99 *  
ENET 103   99 ** 
ENET 104   99 ** 
ENET 105   99 ** 
ENET 106   99 .  
ENET 107   99 .  
ENET 108   79 .  
ENET 200   85 .  
ENET 201   85 *  
ENET 202   85 *  
ENET 203   85 ** 
ENET 204   85 ** 
ENET 205   85 .  
ENET 206   85 .  
ENET 207   85 .  
ENET 208   63 .  
ENET 300  116 .  
ENET 301  116 *  
ENET 302  116 *  
ENET 303  116 ** 
ENET 304  116 ** 
ENET 305  116 .  
ENET 306  116 .  
ENET 307  116 .  
ENET 308  117 .  
ENET 309  116 .  
ENET 701   11 .  
ENET 315    3 .  
ENET 310   41 .  
ENET 311   41 .  
ENET 400    1 *  
ENET 401    3 .  
ENET 312   13 .  
ENET 313   13 *  
ENET 112   27 *  
ENET 113   27 .  
ENET 314    9 .  
ENET 114   27 .  
ENET 500    1 .  
ENET 501    1 .  
ENET 502    1 .  
ENET 503    1 .  
ENET 504    1 .  
ENET 505   10 .  
ENET 506    1 .  
ENET 507    1 .  
ENET 508   10 .  
ENET 509    7 .  
ENET 110    1 .  
ENET 111   23 .  
ENET 230   15 .  
ENET 210  116 .  
ENET 211  251 .  
ENET 222   64 .  
ENET 223    1 .  
ENET 220   71 .  
ENET 221   71 .  
ENET 600    4 .  
ENET 601    6 .  
ENET 602    6 .  
ENET 603    6 .  
ENET 510    1 .  
ENET 511    1 .  
ENET 512   11 .  
ENET 120    5 .  
ENET 403    2 .  
ENET 404    2 .  
ENET 520    1 .  
ENET 521    1 .  
ENET 522   10 .  
ENET 402   33 .  
ENET 700   31 .  
ENCP 131  137 .  
ENCP 132  137 .  
ENCP 133  137 .  
ENCP 134  137 .  
ENCP 135  137 .  
ENCP 136  137 .  
ENCP 143  137 .  
ENCP 150  137 .  
ENCP 100   84 .  
ENCP 101   84 .  
ENCP 102   84 .  
ENCP 103   84 .  
ENCP 104   84 .  
ENCP 105   84 .  
IPGW 300    0 .  
IPGW 500    0 .  
IPGW 600    0 .  
IPGW 601    0 .  
IPGW 602    0 .  
IPGW 603    0 .  
IPGW 604    0 .  
RPC  600    0 .  
CAP  100    0 .  
CAP  101    0 .  
CAP  102    0 .  
CAP  103    0 .  
LAS  100    0 .  
LAS  200    0 .  
LAS  201    0 .  
LAS  202    0 .  
CCMT 301    0 .  
CCMT 302    0 .  
CCMT 501    0 .  
CCMT 502    0 .  
CCMT 601    0 .  
CCMT 602    0 .  
DDS  100    0 .  
DDS  101    0 .  
DDS  102    0 .  
DDS  103    0 ***
DDS  104    0 ** 
DDS  105    0 .  
DDS  106    0 .  
DDS  107    0 .  
DDS  108    0 .  
DDS  109    0 .  
DDS  110    0 ** 
DDS  111    0 .  
DDSW 110    0 .  
DDSW 111    0 *  
DDSW 112    0 ** 
DDSW 113    0 ***
TRMS 450  950 .  
ZZZZ 999    0 .  
LOGD 301    0 .  
MTCK 100   30 .  
MTCK 101   30 .  
MOD  100    2 .  
MOD  101    2 ***
MOD  102    1 .  
MOD  103    6 .  
MOD  104   10 .  
MOD  105    6 .  
MOD  106    4 .  
MOD  107    4 .  
MOD  108    1 .  
MOD  109    9 .  
MOD  110    9 .  
MOD  111    1 .  
MOD  112   14 .  
MOD  113   12 .  
MOD  114   13 .  
MOD  115   13 .  
MOD  116   12 .  
MOD  117   18 .  
MOD  118   30 .  
MOD  119   13 .  
MOD  120   12 .  
MOD  121   23 .  
MOD  122   23 .  
MOD  123   23 .  
MOD  124   23 .  
MOD  125   54 .  
MOD  126   23 .  
MOD  127   13 .  
MOD  128   31 .  
MOD  129   30 ***
MOD  130   13 .  
MOD  131   13 .  
MOD  132   13 .  
MOD  133    2 .  
MOD  134   13 .  
MOD  135    1 .  
MOD  136   21 .  
MOD  137   21 .  
MOD  138   21 .  
MOD  139   13 .  
MOD  140   13 .  
MOD  141   13 .  
MOD  142   24 .  
MOD  143   24 .  
MOD  144   24 .  
MOD  145   12 .  
MOD  146   17 .  
MOD  147    5 .  
MOD  148    6 .  
MOD  149   24 .  
MOD  150   24 .  
MOD  151   24 .  
MOD  152   24 .  
MOD  153   24 .  
MOD  154   24 .  
MOD  155   13 .  
MOD  156   33 .  
MOD  157   28 ** 
MOD  158   28 .  
MOD  159   22 .  
MOD  160   23 .  
SYNC 202   21 .  
SYNC 203   21 *  
SYNC 205   21 .  
SYNC 206   21 *  
SYNC 208   21 .  
SYNC 209   21 *  
OMAU   0    4 .  
OMGA   0    5 .  
OMPR 250   12 .  
OMPR 200    3 .  
OMPR 201    3 .  
OMPR 202    3 .  
OMPR 203    3 .  
OMPR 204    3 .  
OMPR 205    3 .  
OMPR 206    3 .  
OMPR 207    3 .  
OMPR 208    3 .  
OMPR 209    3 .  
OMPR 210    3 .  
OMPR 211    3 .  
OMPR 212    3 .  
OMPR 213    3 .  
OMPR 214    3 .  
OMPR 215    3 .  
OMPR 216    3 .  
OMPR 217    3 .  
OMPR 218    3 .  
OMPR 219    3 .  
OMPR 220    3 .  
OMPR 221    3 .  
OMPR 222    3 .  
OMPR 223    3 .  
OMPR 224    3 .  
OMPR 225    3 .  
OMPR 226    3 .  
OMPR 227    3 .  
OMPR 228    3 .  
OMPR 229    3 .  
OMPR 230    3 .  
OMPR 231    3 .  
OMRS 100   12 .  
OMRS   0    3 .  
OMRS   1    3 .  
OMRS   2    3 .  
OMRS   3    3 .  
OMRS   4    3 .  
OMRS   5    3 .  
OMRS   6    3 .  
OMRS   7    3 .  
OMRS   8    3 .  
OMRS   9    3 .  
OMRS  10    3 .  
OMRS  11    3 .  
OMRS  12    3 .  
OMRS  13    3 .  
OMRS  14    3 .  
OMRS  15    3 .  
OMRS  16    3 .  
OMRS  17    3 .  
OMRS  18    3 .  
OMRS  19    3 .  
OMRS  20    3 .  
OMRS  21    3 .  
OMRS  22    3 .  
OMRS  23    3 .  
PVAL 300    0 .  
PVAL 600    0 .  
DISK 900  150 .  
DISK 901   38 .  
DISK 200  100 .  
DISK 520   40 .  
DISK 530   40 .  
DISK 600   70 .  
DISK 610   70 .  
DISK 500   40 .  
DISK 510   70 .  
DISK 320  100 .  
DISK 330  100 .  
DISK 300  100 .  
DISK 310  100 .  
DISK 340  100 .  
DISK 700   70 .  
DISK 650   70 .  
DISK 655  100 .  
DISK 625   70 .  
DISK 725  100 .  
DISK 660   70 .  
DISK 680  100 .  
DISK 740  100 .  
ITOC 100   91 ***
ITOC 101   91 *  
ITOC 102    0 .  
SECU 101   26 .  
SECU 102   11 .  
SECU 103   20 .  
SECU 104   25 .  
SECU 105   19 .  
SECU 106   19 .  
SECU 107   23 .  
SECU 108   23 .  
SECU 109   10 .  
SECU 110   11 .  
SECU 111   15 .  
SECU 112   29 .  
SECU 113    1 .  
SECU 114   11 .  
SECU 115    1 .  
SECU 116    1 .  
SECU 117    1 .  
SECU 118   11 .  
SECU 119    1 .  
SECU 120   31 .  
SECU 121   10 .  
SECU 122   47 .  
SECU 123   27 .  
SECU 124   19 .  
SECU 125   20 .  
SECU 126   20 .  
SECU 127   84 .  
SECU 128   10 .  
TABL 100   15 .  
TABL 101   57 .  
TABL 102   15 .  
TABL 103   15 .  
SYNC   7    4 .  
SOCT 616    1 .  
SOCT 613    1 .  
SOCT 611    5 .  
SOCT 610    1 .  
SOCT 609    1 .  
SOCT 608    1 .  
SOCT 607    1 .  
SOCT 606    1 .  
SOCT 605    1 .  
SOCT 604    1 .  
SOCT 602    1 .  
ITN  299    8 .  
ITN  201   21 .  
ITN  202   21 .  
ITN  203   21 .  
ITN  204   21 .  
ITN  205   21 .  
ITN  206   21 .  
ITN  207   13 .  
ITN  208   13 .  
ITN  300   15 .  
ITN  301   12 .  
ITN  302   12 .  
ITN  303   12 .  
ITN  304   12 .  
ITN  305   12 .  
ITN  306   23 .  
ITN  310   12 .  
ITN  311   12 .  
ITN  312   12 .  
ITN  313   12 .  
ITN  399    8 .  
ITN  314   12 .  
ITN  315   14 .  
ITN  400   15 .  
ITN  401   16 .  
ITN  402   16 .  
ITN  403   16 .  
ITN  404   16 .  
ITN  405   13 .  
ITN  499    8 .  
ITN  699    8 .  
ITN  600    8 .  
ITN  601   10 .  
ITN  602   35 .  
ITN  603    4 .  
ITN  604   33 .  
ITN  599    8 .  
ITN  501   39 .  
SDM  550  105 .  
SDM  650   27 .  
TELN 100    9 .  
TELN 110    9 .  
SDMB 300   27 .  
SDMB 310   27 .  
SDMB 315   27 .  
SDMB 316   27 .  
SDMB 320   27 .  
SDMB 321   39 .  
SDMB 330   48 .  
SDMB 350  130 .  
SDMB 355  130 .  
SDMB 360  130 .  
SDMB 365  130 .  
SDMB 366  130 .  
SDMB 367  130 .  
SDMB 370  130 .  
SDMB 375  130 .  
SDMB 380  130 .  
SDMB 390  130 .  
SDMB 400  130 .  
SDMB 530   39 .  
SDMB 531 1000 .  
SDMB 550  130 .  
SDMB 600   27 .  
SDMB 610   27 .  
SDMB 615   27 .  
SDMB 620   27 .  
SDMB 621   39 .  
SDMB 625   39 .  
SDMB 650  130 .  
SDMB 655  130 .  
SDMB 660  130 .  
SDMB 665  130 .  
SDMB 670  130 .  
SDMB 675  130 .  
SDMB 680  130 .  
SDMB 690  130 .  
SDMB 691  130 .  
SDMB 692  130 .  
SDMB 693  130 .  
SDMB 820 1000 .  
DRM  300    0 ** 
DRM  301    0 ** 
DRM  600    0 .  
DRM  602    0 .  
DRM  603    0 .  
SBS  900    0 .  
SBS  901    0 .  
SBS  300    0 ** 
SBS  301    0 ** 
SBS  302    0 ** 
SBS  303    0 ** 
SBS  304    0 ** 
SBS  500    0 .  
ATT  100    1 .  
ATT  101    3 .  
ATT  102    2 .  
ATT  103    1 .  
ATT  104    5 .  
ATT  105    3 .  
ATT  106    3 .  
ATT  107    6 .  
ATT  113   18 .  
ATT  114   30 .  
ATT  121   12 .  
ATT  122    6 .  
ATT  115    7 .  
ATT  123    7 .  
ATT  108    4 .  
ATT  109   22 .  
ATT  110   89 .  
ATT  111    1 .  
ATT  112    3 .  
ATT  116    9 .  
ATT  117    1 .  
ATT  118    8 .  
ATT  124   13 .  
ATT  120   13 .  
ATT  119   13 .  
CCS  174   60 .  
CCS  900   95 .  
CCS  901   95 .  
CCS  902    0 .  
CCS  903    0 .  
CCS  703  100 .  
CCS  178    4 .  
CCS  701   45 .  
CCS  791   17 .  
CCS  120    0 .  
CCS  121    0 .  
CCS  124    0 .  
CCS  125    0 .  
CCS  101   64 *  
CCS  102   42 .  
CCS  103    0 *  
CCS  104   42 .  
CCS  105   42 .  
CCS  106   42 .  
CCS  107   42 .  
CCS  108   42 .  
CCS  156   42 .  
CCS  157   45 *  
CCS  159   42 *  
CCS  160   42 *  
CCS  163    0 .  
CCS  161   42 .  
CCS  162   42 .  
CCS  158   42 *  
CCS  164    0 *  
CCS  165   58 .  
CCS  199    0 .  
CCS  109    1 .  
CCS  110    1 ** 
CCS  111   35 .  
CCS  154   31 ***
CCS  175   31 ** 
CCS  155   31 .  
CCS  151   31 .  
CCS  152   31 ***
CCS  153   31 ***
CCS  166    2 .  
CCS  167    2 ** 
CCS  168    2 ** 
CCS  169   18 .  
CCS  170   47 .  
CCS  171   17 .  
CCS  187   18 .  
CCS  172   32 ** 
CCS  173    0 *  
CCS  176  107 .  
CCS  177   62 .  
CCS  186    0 .  
CCS  183    0 ***
CCS  185    0 ** 
CCS  184    0 .  
CCS  180    0 .  
CCS  181    0 ** 
CCS  182    0 ** 
CCS  731    0 .  
CCS  730    0 .  
CCS  733    0 .  
CCS  732    2 .  
CCS  734    1 ***
CCS  735   10 .  
CCS  736    0 .  
CCS  737    0 .  
CCS  140    0 .  
CCS  141    0 .  
CCS  142    0 .  
CCS  633    0 .  
CCS  143    0 .  
CCS  145    0 .  
CCS  146    0 .  
CCS  147    0 .  
CCS  750  506 .  
CCS  190   80 .  
CCS  201  149 .  
CCS  202  149 .  
CCS  203  149 .  
CCS  204   47 .  
CCS  205   92 .  
CCS  206  165 .  
CCS  207   59 .  
CCS  230  156 .  
CCS  231    1 ** 
CCS  252    1 ** 
CCS  232    2 .  
CCS  233    2 .  
CCS  234    2 .  
CCS  235    2 .  
CCS  236    2 .  
CCS  250    2 .  
CCS  251    2 .  
CCS  208    1 .  
CCS  209    1 ***
CCS  210   97 ***
CCS  211   97 .  
CCS  229   97 *  
CCS  212    2 .  
CCS  213    2 ***
CCS  214    2 ***
CCS  215    2 ***
CCS  216    2 .  
CCS  217    1 .  
CCS  218    1 ***
CCS  219    1 ***
CCS  220    1 .  
CCS  221   13 .  
CCS  222   59 .  
CCS  223   59 .  
CCS  224   47 .  
CCS  225   12 .  
CCS  226  149 .  
CCS  227  149 .  
CCS  228  140 .  
CCS  299  210 .  
CCS  298    0 .  
CCS  297    0 .  
CCS  237    4 .  
CCS  238   61 .  
CCS  239   12 .  
CCS  240   61 .  
CCS  241  144 .  
CCS  243    8 .  
CCS  296  144 .  
CCS  242    1 .  
CCS  244    3 .  
CCS  245   30 .  
CCS  246   92 .  
CCS  601    0 .  
CCS  248    0 *  
CCS  249  149 .  
CCS  253   55 .  
CCS  254    0 .  
CCS  255  144 .  
CCS  256  144 .  
CCS  295  144 .  
CCS  260    0 .  
CCS  500    5 .  
CCS  501    5 .  
CCS  502  145 .  
CCS  503  145 .  
CCS  505  145 .  
CCS  506  145 .  
CCS  504    3 .  
CCS  191    1 ** 
CCS  192    1 .  
CCS  193    9 .  
CCS  195    1 .  
CCS  196    1 ** 
CCS  197    1 ** 
CCS  189    3 ** 
CCS  198   30 .  
CCS  602    0 .  
CCS  603    0 .  
CCS  604    0 .  
CCS  393    0 .  
CCS  394    0 .  
CCS  395    0 .  
CCS  396    0 .  
CCS  400   26 .  
CCS  401    6 .  
CCS  402  114 .  
CCS  403  114 .  
CCS  404    2 .  
CCS  650    5 .  
CCS  651    0 .  
CCS  652   10 .  
CCS  800   40 ** 
CCS  801    0 .  
CCS  802    0 .  
CCS  803    0 .  
CCS  804    1 .  
CCS  805    1 *  
CCS  806    2 .  
CCS  807    2 *  
CCS  808    0 .  
CCS  600    8 .  
TCAP 199   92 .  
TCAP 100  312 .  
TCAP 101  312 .  
C7TU 101  150 .  
C7TU 102  150 .  
C7TU 103  150 .  
C7TU 104  150 .  
C7TU 105  150 .  
C7TU 106  150 .  
C7TU 107  150 .  
C7TU 108  150 .  
C7TU 109  150 .  
C7TU 110  150 .  
C7TU 111  150 .  
C7TU 201  150 .  
C7TU 202  150 .  
C7TU 301  150 .  
C7TU 302  150 .  
C7TU 303  150 .  
C7TU 401  150 .  
CLIN 101   13 .  
CLIN 102   28 .  
NPAC 999   31 ** 
NPAC 210   14 *  
NPAC 211   14 .  
NPAC 212   14 ** 
NPAC 125   13 .  
NPAC 126   64 *  
NPAC 129   24 .  
NPAC 300    4 .  
NPAC 128   29 *  
NPAC 200   18 .  
NPAC 201    2 *  
NPAC 202   13 ** 
NPAC 203   53 .  
NPAC 204   17 *  
NPAC 110   26 .  
NPAC 111   26 .  
NPAC 115   26 *  
NPAC 116   26 *  
NPAC 119   69 .  
NPAC 550   44 .  
NPAC 551   23 *  
NPAC 552   38 .  
NPAC 100   23 .  
NPAC 101   23 .  
NPAC 105   23 *  
NPAC 106   23 *  
NPAC 109   79 .  
NPAC 509   71 .  
NPAC 107   95 .  
NPAC 108   95 ** 
NPAC 104   30 .  
AFTM 100    0 ** 
AFTM 200    0 ***
DAIS 200   34 .  
DAIS 201  181 .  
DAIS 202  200 .  
DAIS 203  181 .  
DAIS 204  181 .  
DAIS 297  208 .  
DAIS 298  186 .  
DAIS 299   42 .  
PT   100   70 .  
RL   100   70 .  
FP   552    0 .  
FP   503    0 .  
FP   504    0 .  
FP   505    0 .  
FP   300    0 .  
FP   351    0 .  
FP   301    0 ** 
FP   304    0 .  
FP   305    0 .  
FP   354    0 .  
FP   601    0 .  
FP   600    0 .  
FPD  100   34 .  
DUTL 100   17 .  
DUTL 101    3 .  
DUTL 102   22 .  
DUTL 103   22 .  
DUTL 198  159 .  
DUTL 199   25 .  
ECTS 100    6 .  
ECTS 101   12 .  
ECTS 102    1 .  
ECTS 103    2 .  
ECTS 105   95 .  
ECTS 106   32 .  
SST  100   11 .  
SST  101   13 .  
SST  102   25 .  
SST  103    9 .  
SST  104   13 .  
SST  105   13 .  
AFT    1   86 .  
AFT    2   75 .  
AFT    3   84 ***
AFT    4   45 .  
DFTI 100   60 *  
ICTS 100    7 .  
ICTS 101    6 .  
ICTS 102    0 .  
ICTS 103    2 .  
ICTS 107    0 .  
ICTS 105  109 .  
ICTS 106  109 .  
PADN 300    5 .  
PADN 301    1 .  
PADN 600  200 .  
PADN 601  152 .  
PRFM 200  233 .  
PRFM 201   31 .  
PRFM 203  233 .  
PRFM 202  218 .  
PRFM 204  152 .  
PRFM 207  256 .  
PRFM 205   32 .  
OVLD 201    0 .  
OVLD 202    0 .  
OVLD 203    0 .  
FC0  100    0 .  
FC0  101    0 .  
UTR  100    2 .  
SPM  650   27 .  
SPM  651   27 *  
SPM  300  230 .  
SPM  331  108 .  
SPM  335   74 .  
SPM  500   48 .  
SPM  630   68 .  
SPM  330  114 .  
SPM  314  119 .  
SPM  683  100 .  
SPM  685  113 .  
SPM  686    0 .  
SPM  682   58 .  
SPM  684   52 .  
SPM  605   79 .  
SPM  301   62 .  
SPM  601   64 .  
SPM  690   77 .  
SPM  619   47 ** 
SPM  332    0 .  
SPM  333    0 .  
SPM  632    0 .  
SPM  633    0 .  
SPM  350   39 *  
SPM  340   31 ** 
SPM  311  105 *  
SPM  312   59 ** 
SPM  313   89 *  
SPM  645  198 .  
SPM  625   44 .  
SPM  399   68 .  
SPM  502   66 .  
SPM  503   85 .  
SPM  504   84 .  
SPM  705   90 .  
SPM  706   90 .  
SPM  700    0 .  
SPM  701    0 .  
SPM  702    0 .  
SPM  707   31 .  
SPM  708   31 .  
SPM  610   41 .  
SPM  611   43 .  
SPM  334   71 .  
SPM  336   71 .  
SPM  337   71 .  
SPM  338   71 .  
SPM  339   71 .  
SPM  341   44 .  
SPM  342   44 .  
SPM  344   44 .  
SPM  501   44 .  
SPM  510   63 .  
SPM  637   71 .  
SPM  638   71 .  
SPM  641   44 .  
SPM  642   44 .  
SPM  644   44 .  
SPM  352   43 ** 
SPM  353   43 ***
SPM  354   43 ** 
SPM  355   43 ***
SPM  356   43 ** 
SPM  357   44 ** 
SPM  358   74 ***
SPM  652   43 .  
SPM  653   43 .  
SPM  654   43 .  
SPM  655   43 .  
SPM  656   43 .  
SPM  657   44 .  
SPM  658   43 .  
SPM  600   68 .  
SPM  660    0 .  
SPM  310    0 .  
SPM  661    0 .  
SPM  370   46 ***
SPM  670   36 .  
SPM  680   47 .  
SPM  681   55 .  
SPM  703    0 .  
SPM  704    0 .  
SPM  709   31 .  
SPM  710   31 .  
SCPL 100   26 .  
SCPL 200   26 .  
GAME 100   66 .  
GAME 101   18 .  
GAME 102   18 *  
NWM  100   18 .  
NWM  101   18 .  
NWM  102   22 .  
NWM  103   22 .  
NWM  104   21 .  
NWM  105   21 .  
NWM  106   21 .  
NWM  107  228 .  
NWM  108  228 .  
NWM  109  228 .  
NWM  110  228 .  
NWM  111  228 .  
NWM  112  228 .  
NWM  400   14 .  
NWM  600   11 .  
NWM  601   10 .  
NWM  200   15 .  
NWM  201   12 .  
NWM  202   14 .  
NWM  203   17 .  
NWM  300    9 .  
NWM  900   29 ** 
NWM  901    0 ** 
NWM  902   41 ** 
NWM  700   21 .  
NWM  701   18 .  
NWM  702   17 .  
NWM  703   23 .  
KTRK 100   10 .  
BITS 300   73 .  
BITS 301   73 .  
BITS 500   54 .  
BITS 600   73 .  
BITS 601   73 .  
BITS 610   54 .  
BITS 612   70 .  
SA   201  246 .  
SA   202  246 .  
SA   203  246 .  
SA   204  246 .  
SA   205  246 .  
CARR 500   97 .  
CARR 501   65 .  
CARR 510   65 .  
CARR 511   97 *  
CARR 512   97 *  
CARR 320   51 .  
CARR 310   99 *  
CARR 300   99 .  
CARR 800   68 .  
CARR 801   68 .  
CARR 810   68 *  
CARR 811   78 *  
CARR 330  112 .  
CARR 331  122 .  
CARR 340  107 .  
CARR 341  107 .  
EAD  100    3 .  
EAD  101   10 .  
EAD  102    3 .  
EAD  103    1 *  
EAD  104    1 *  
EAD  109    5 .  
EAD  110    3 .  
EAD  111    1 .  
EAD  112    1 .  
EAD  113  105 .  
EAD  114  105 .  
EAD  107    3 .  
EAD  108   10 .  
TKCV 100   26 .  
TKCV 101   26 .  
TKCV 102   26 .  
SSR  600    0 .  
SSR  601    0 .  
SSR  602    0 .  
SSR  603    0 .  
SSR  604    0 .  
SSR  605    0 .  
SSR  606    0 .  
SSR  607    0 .  
SSR  608    0 .  
SSR  609    0 .  
SSR  610    0 .  
SSR  611    0 .  
SSR  612    0 .  
SSR  613    0 .  
SSR  614    0 .  
SSR  615    0 .  
CTID 600    9 .  
DCA  301    1 *  
DCA  302    1 *  
DCA  303    1 ** 
DCA  601    0 .  
DCA  602    2 .  
DCA  603    0 .  
DCA  604    0 .  
DCA  605    0 .  
ISDN 100   35 .  
ISDN 101   21 .  
ISDN 102   22 .  
ISDN 103   28 .  
ISDN 104   15 *  
ISDN 105   47 *  
ISDN 106   22 *  
ISDN 107   22 .  
ISDN 108   22 .  
ISDN 109   21 *  
ISDN 110   66 .  
ISDN 111   66 ** 
ISDN 112   66 ***
ISDN 113   34 ** 
ISDN 114   34 ** 
ISDN 115   25 .  
ISDN 116   22 .  
ISDN 117   35 .  
ISDN 118   15 .  
ISDN 119   35 .  
ISDN 120   22 .  
ISDN 121   21 .  
ISDN 122   22 .  
ISDN 301    0 .  
ISDN 304    0 .  
ISDN 302    0 .  
ISDN 305    0 .  
ISDN 310    0 .  
ISDN 311    0 .  
ISDN 312    0 .  
ISDN 401    0 .  
ISDN 402    0 .  
ISDN 404    0 .  
ISDN 200    0 .  
ISDN 201    0 .  
ISDN 202    0 .  
ISDN 203    0 .  
ISDN 204    0 .  
ISDN 205    0 .  
ISDN 308    0 .  
ISDN 309    0 .  
ISDN 313    0 .  
ISDN 303    0 .  
ISDN 307    0 .  
ISDN 306    0 .  
ISDN 300    0 .  
MSRT 100   55 *  
MSRT 101    6 *  
NCAS 100   34 .  
NETX 100    9 .  
NETX 101    9 .  
NETX 102    9 .  
NETX 103    9 .  
NETX 105    9 .  
DCME 100   10 .  
DCME 101    7 .  
DCME 102    6 .  
DCME 103    9 .  
DCME 104   17 .  
DCME 105    9 .  
DCME 106   12 .  
DCR  100   34 *  
DCR  101   44 .  
DCR  102   39 .  
DCR  103   31 .  
DCR  104   15 .  
DCR  105   42 .  
DCR  106   33 .  
DCR  107   38 .  
DPP  100   43 .  
DPP  101   35 .  
DPP  102   51 .  
EATS 100    7 .  
EQAC 100   10 *  
EQAC 600   19 .  
NAOC 100    0 *  
NAOC 110    0 *  
NAOC 120    0 *  
NAOC 130    0 *  
NAOC 200    0 .  
NAOC 210    0 .  
NAOC 220    0 .  
NAOC 600    0 .  
NAOC 610    0 .  
NAOC 620    0 .  
NAOC 630    0 .  
NAOC 640    0 .  
NAOC 650    0 .  
QSIG 100   11 .  
QSIG 101   11 .  
QSIG 102   11 .  
QSIG 103   12 .  
QSIG 104   22 .  
QSIG 105    0 .  
QSIG 106    3 .  
QSIG 107   22 .  
QSIG 108   22 .  
QSIG 109   11 .  
SLNK 100    8 .  
SLNK 101    8 .  
SLNK 102   19 .  
SLNK 103   19 ***
SLNK 104   19 .  
SLNK 105   21 .  
SLNK 106   15 .  
SLNK 107    8 ***
SLNK 108   31 ** 
SMDI 100   34 .  
SMDI 101    4 .  
SMDI 102    4 .  
SMDI 103    0 ** 
SMDI 109    0 .  
SMDI 104    8 .  
SMDI 105    1 .  
SMDI 106    1 .  
SMDI 107    1 .  
SMDI 108    1 ***
SPRF 670  296 .  
SPRF 671  233 .  
OCC  203   19 .  
OCC  213   19 .  
OCC  230   37 .  
M3UA 101   16 .  
M3UA 102    6 .  
M3UA 103   40 .  
M3UA 104    1 .  
M3UA 105    2 .  
M3UA 106    9 .  
M3UA 107    1 .  
M3UA 108   41 .  
M3UA 109   14 .  
M3UA 110    1 .  
M3UA 111    1 .  
M3UA 112   12 .  
M3UA 113    8 .  
M3UA 114   16 .  
M3UA 115   40 .  
WB   100    3 .  
WB   101    0 .  
WB   102    3 .  
WB   103    0 .  
WB   104    0 .  
WB   105    7 .  
WB   106    4 .  
WB   107    2 .  
WB   108    4 .  
WB   109    2 .  
IWBM 900  232 .  
IWBM 800    0 ** 
IWBM 801    0 .  
IWBM 802    0 ***
IWBM 803    0 .  
IWBM 500   58 ** 
IWBM 501   58 .  
IWBM 502   41 ** 
IWBM 503   41 .  
IWBM 504   41 ** 
IWBM 505   41 ** 
IWBM 600   36 .  
IWBM 601   61 .  
IWBM 602    0 .  
IWBM 603   25 .  
IWBM 700   26 .  
IWBM 701    0 .  
IWBM 702    0 .  
XNET 600    0 .  
XNET 601    0 .  
XNET 602    0 .  
XNET 603    0 .  
XNET 604    0 .  
XNET 605    0 .  
XNET 606    0 .  
XNET 607    0 .  
BCT  100    0 *  
BCT  101    0 ** 
BCT  200    0 .  
